Question,Choice1,Choice2,Choice3,Answer,Difficulty,Sort,,,,,,,
요즘은 스크린을 통해 실내에서도 스포츠를 즐길 수 있다. 해당되지 않는 것은?,스크린 수영,스크린 골프,스크린 야구,1,2,◇시사/상식◇,,,,,,,
카카오프렌즈의 인기 캐릭터 '라이언'의 직책은?,대리,상무,전무,3,3,◇시사/상식◇,,,,,,,
"영어로 ""Pay attention!""은 우리말로 외치면 무엇이 될까?",주모~!,주먹!,주목!,3,1,◇시사/상식◇,,,,,,,
다음 중 일본어 '소데나시'의 줄임말 '나시'로 불리는 옷은?,민소매,후추,민머리,1,1,◇시사/상식◇,,,,,,,
존재감이 없거나 미미한 사람을 사물에 비유해서 부르는 말은?,미친 존재감,병풍,분위기 메이커,2,2,◇시사/상식◇,,,,,,,
"아랍어로 통치자를 뜻하며, 터키 에도르안 대통령이 재선출되며 부각된 이 단어는?",술탄,물탄,약탄,1,2,◇시사/상식◇,,,,,,,
K팝 걸그룹 최초로 빌보드 메인차트 2개에 동시 진입한 그룹은?,원더걸스,방탄소년단,블랙핑크,3,3,◇시사/상식◇,,,,,,,
매우 적은 양으로 물질 대사나 생리기능을 조절하는 필수적인 영양소는?,우라늄,플루토늄,비타민,3,2,◇시사/상식◇,,,,,,,
영국 애니메이션 <토마스와 친구들>의 주인공 토마스는?,우주선,기관차,전기차,2,2,◇시사/상식◇,,,,,,,
우리나라 최초의 철도는?,경인선,경부선,경강선,1,4,◇시사/상식◇,,,,,,,
미니 축구 '풋살'은 한팀이 몇 명이서 하는 경기일까?,5명,7명,8명,1,3,◇시사/상식◇,,,,,,,
영어 'Bo Peep Bo Peep'을 우리말로 표현했을때 가장 적절한 것은?,뛰뛰! 빵빵!,삐뽀~삐뽀~,우르르 까꿍~!,3,4,◇시사/상식◇,,,,,,,
제주도의 상징! 돌하르방의 재료는?,현무암,전현무,주작암,1,2,◇시사/상식◇,,,,,,,
근위병 교대식으로 유명한 런던의 궁전 이름은?,버스킹,버킹엄,버거킹,2,2,◇시사/상식◇,,,,,,,
나라와 대표 관광명소가 잘못 연결된 것은?,체코-프라하성,로마-콜로세움,스위스-샹젤리제,3,3,◇시사/상식◇,,,,,,,
다음 중 관세가 면제된 상품에 붙어있는 마크는?,듀티프리,택스프리,알콜프리,1,3,◇시사/상식◇,,,,,,,
2018년 여행을 가기위해 비자가 필요한 곳은?,중국,홍콩,필리핀,1,3,◇시사/상식◇,,,,,,,
대한민국 성인이면 이용 가능한 국내 기차패스는?,내일로,하나로,문화로,2,4,◇시사/상식◇,,,,,,,
"""뽑기""로도 불리는 설탕을 녹인 다음 소다를 넣어 만든 과자는?",달구나,달고나,달짝지근하구나,2,3,◇시사/상식◇,,,,,,,
다음 중 범죄를 해결하는 데 있어서의 결정적인 증거를 일컫는 말은?,두루마리,스모킹 건,심증,2,3,◇시사/상식◇,,,,,,,
자동차 급제동 시 바퀴가 잠기는 현상을 방지하기 위한 시스템은?,EBD,ECS,ABS,3,4,◇시사/상식◇,,,,,,,
2017년 병역회피 수법으로 가장 많이 사용된 방법은?,고의 체중 조절,정신질환 위장,고의 문신,1,4,◇시사/상식◇,,,,,,,
"국내 화폐중 가장 짧게 유통된 화폐, 100환권에 그려진 그림은?",아빠와 아들,엄마와 아들,엄마와 두 딸,2,5,◇시사/상식◇,,,,,,,
다음 중 '소개팅'에 해당되는 영어 단어는?,커튼 데이트,카펫 데이트,블라인드 데이트,3,4,◇시사/상식◇,,,,,,,
소비자 불매운동을 뜻하는 '보이콧'은 어디에서 유래된 말일까?,법안명,사람 이름,기업 이름,2,5,◇시사/상식◇,,,,,,,
"닭과 인삼, 대추, 찹쌀 등을 넣어 만드는 여름 보양식은?",진흙탕,삼계탕,남녀혼탕,2,1,◇시사/상식◇,,,,,,,
"뉴스에서 날씨에 관한 정보를 수집, 전달하는 역할을 하는 직업은?",취침캐스터,캐스터네츠,기상캐스터,3,1,◇시사/상식◇,,,,,,,
단말기를 설치하면 주행 중 자동으로 통행료가 결제되는 시스템은?,하이패스,스루패스,노룩패스,1,1,◇시사/상식◇,,,,,,,
국회의원이 사용처를 밝히지 않고 쓸 수 있도록 나라에서 지급받는 경비는?,특수활동비,뇌물,용돈,1,1,◇시사/상식◇,,,,,,,
하천이 범람하여 주변 지역에 피해를 입히는 자연재해는?,산사태,홍수,가뭄,2,1,◇시사/상식◇,,,,,,,
"사르트르의 명언 ""인생은 'B'와 'D'사이의 'C'다."" 에서 풀이가 알맞은 알파벳은?",B -Birth,D - Dollar,C - Chocolate,1,1,◇시사/상식◇,,,,,,,
회사도 집도 잊고 떠나고 싶은 충동이 드는것을 '( )증후군'이라고 한다. 빈칸은?,정신가출,멍때리기,유체이탈,1,3,◇시사/상식◇,,,,,,,
사과향이 나서 '땅에서 나는 사과'라고 불리는 허브는?,라벤더,히비스커스,카모마일,3,4,◇시사/상식◇,,,,,,,
연예인들이 군대를 직접 체험하는 예능 프로그램은?,진짜 사나?,트와이스 사나,진짜 사나이,3,1,◇시사/상식◇,,,,,,,
다음 중 나무에서 열리는 열매가 아닌 것은?,치자,구기자,피자,3,2,◇시사/상식◇,,,,,,,
30대에도 회사에서 퇴직을 강요당하는 현실을 반영한 신조어는?,휴전선,38선,낙동강 방어선,2,3,◇시사/상식◇,,,,,,,
똑바로 누워서 하는 수영은 배영! 옆으로 누워서 수영하는 영법은?,횡영,입영,반배영,1,2,◇시사/상식◇,,,,,,,
6.25 전쟁이 발발한 시대를 배경으로 한 영화가 아닌 것은?,태극기 휘날리며,웰컴투 동막골,실미도,3,3,◇시사/상식◇,,,,,,,
월드컵 개최를 담당하고 있는 국제축구연맹의 약자는?,피파,코파,도파,1,2,◇시사/상식◇,,,,,,,
다음 중 불어로 안녕하세요 라는 뜻의 인사말은?,봉쥬르,봉만대,봉잡아,1,2,◇시사/상식◇,,,,,,,
다음 중 한 나라의 수도가 아닌 곳은?,파리,로마,이스탄불,3,3,◇시사/상식◇,,,,,,,
다음 중 마블코믹스 소속 히어로가 아닌 인물은?,아이언맨,슈퍼맨,헐크,2,2,◇시사/상식◇,,,,,,,
월트 디즈니의 캐릭터 곰돌이 푸의 성별은?,남성,중성,여성,3,3,◇시사/상식◇,,,,,,,
땅을 파거나 깍을 때 사용되는 건설 기계는?,포크레인,스푼레인,나이프레인,1,2,◇시사/상식◇,,,,,,,
국내 고속도로에서 도로교통법 위반 행위를 불시에 단속하는 순찰차는?,암행 순찰차,쾌걸조로 순찰차,배트맨 순찰차,1,2,◇시사/상식◇,,,,,,,
다수가 한 집에 살면서 개인적인 공간은 따로 사용하는 주거 양식은?,땅콩하우스,게스트하우스,셰어하우스,3,4,◇시사/상식◇,,,,,,,
다음 중 외래어가 아닌 것은?,댐,비닐,헹가래,3,4,◇시사/상식◇,,,,,,,
답답했던 상황이 통쾌하게 진행 될 경우 쓰이는 인터넷 유행어는?,고구마,감자,사이다,3,3,◇시사/상식◇,,,,,,,
몸의 중심 부위를 강화시키는 운동을 부르는 말은?,새마을 운동,코어 운동,나이키 운동,2,3,◇시사/상식◇,,,,,,,
제주도에서 산을 부르는 말 오름!  다음 중 제주도에 없는 오름은?,물오름,소소름,대오름,3,2,◇시사/상식◇,,,,,,,
뮤지컬 최초로 노벨문학상을 받은 미국의 싱어송라이터는?,밥 달라,밥 드려,밥 딜런,3,2,◇시사/상식◇,,,,,,,
소송에 있어 원고의 청구를 이유가 없다고 하여 배척하는 판결은?,기각,항소,상소,1,4,◇시사/상식◇,,,,,,,
야구에서 '안방 마님'으로 불리는 포지션은?,포수,감독의 아내,구단주의 부인,1,2,◇시사/상식◇,,,,,,,
속담 '까마귀 고기를 먹었냐?'는 어떤 사람에게 쓰는 말일까?,까마귀를 먹은 사람,건망증이 심한 사람,오골계를 키우는 사람,2,2,◇시사/상식◇,,,,,,,
2002년 월드컵에서 히딩크 감독이 했던 '골 세레머니'는?,어퍼컷,공중제비,손가락 흔들고 호우!,1,2,◇시사/상식◇,,,,,,,
남반구에서 '1년중 밤이 가장 긴 날'은 우리나라 절기로 언제일까?,하지,입춘,동지,1,3,◇시사/상식◇,,,,,,,
코뿔소의 '뿔'은 원래 무엇일까?,뼈,피부,이빨,2,4,◇시사/상식◇,,,,,,,
피사의 사탑이 기울어져있는 이유는?,설계를 기울게 해서,지반이 불균형 해서,관광객이 밀어서,2,3,◇시사/상식◇,,,,,,,
백설공주가 깊은 잠에 빠지게 된 이유는?,윽;; 독사과를 먹어서,점심에 과식을해서,어젯밤 너무 달려서,1,2,◇시사/상식◇,,,,,,,
출입문에 쓰여있는 '미세요'의 올바른 영어 단어는?,PUSH,PULL,PASS,1,3,◇시사/상식◇,,,,,,,
속담 '외모는 거울로 보고 마음은 ( )(으)로 본다'에서 빈칸은?,술,말,성격,1,3,◇시사/상식◇,,,,,,,
다음 주민등록번호를 가진 사람중에서 가장 먼저 태어난 사람은?,******-1261833,******-3261833,******-9261833,3,3,◇시사/상식◇,,,,,,,
현역 군인은 전역한 다음 해부터 8년동안 '( )'에 편성된다. 빈칸은?,게릴라군,예비군,반란군,2,1,◇시사/상식◇,,,,,,,
소설 <해리포터>에서 해리의 이마에 있는 번개모양은 무엇일까?,문신,점,흉터,3,2,◇시사/상식◇,,,,,,,
자국에서의 박해를 피해 다른 곳으로 탈출하는 사람은?,난민,양민,인민,1,2,◇시사/상식◇,,,,,,,
달리기 운동 '조깅'을 영어로 하면?,Jogging,Morning Run,Slow Run,1,3,◇시사/상식◇,,,,,,,
더치페이(Dutch Pay)'의 우리말 순화어는?,반반 내기,각자 내기,나눠 내기,2,3,◇시사/상식◇,,,,,,,
포도나 자두 표면의 흰 가루를 먹으면 어떻게 될까?,죽는다,달다,아프다,2,2,◇시사/상식◇,,,,,,,
다음 디즈니 애니메이션 여성 캐릭터 중 20대는?,신데렐라,라푼젤,엘사,3,5,◇시사/상식◇,,,,,,,
축구용어 '해트트릭'은 어느 스포츠 종목에서 비롯되었을까?,크리켓,테니스,골프,1,4,◇시사/상식◇,,,,,,,
다음 중 '아우'의 높임말로 옳은 것은?,아우 진짜,아우님,아우야,2,3,◇시사/상식◇,,,,,,,
캐릭터들을 축소해 재현한 인형인 '피규어'의 올바른 표기는?,피겨,피그렛,픽미업,1,2,◇시사/상식◇,,,,,,,
허벅지 뒤쪽 부분의 근육과 힘줄인 '햄스트링'의 기능이 아닌 것은?,속도 감속,방향 전환,폐활량 상승,3,3,◇시사/상식◇,,,,,,,
"동요 ""OOOO OOOO 으쓱 으쓱""에서 빈칸에 들어갈 말은?",달랑달랑,딸랑딸랑,짤랑짤랑,3,3,◇시사/상식◇,,,,,,,
딸의 남편인 '사위'를 나타내는 말로 옳은 것은?,백년손님,단골손님,진상손님,1,1,◇시사/상식◇,,,,,,,
가수의 뒤에서 보조적으로 노래를 부르는 사람은?,매니저,코러스,백댄서,2,2,◇시사/상식◇,,,,,,,
지역의 옛 이름과 현재 이름이 잘못 짝지어진 것은?,달구벌-대구,한밭-대전,서라벌-광주,3,3,◇시사/상식◇,,,,,,,
2018 월드컵에 적용되는 '비디오 판독 시스템'을 부르는 용어는?,VR,VAR,VCR,2,4,◇시사/상식◇,,,,,,,
"방송전파의 통신로를 말하며, ""OO 고정!""의 빈칸의 들어갈 말은?",노리쇠 후퇴,시선,채널,3,2,◇시사/상식◇,,,,,,,
"<우주를 줄게, 썸 탈꺼야, 여행>을 부른 가수는?",볼빨간 김춘기,빨간볼 사춘기,볼빨간 사춘기,3,2,◇시사/상식◇,,,,,,,
2006년 독일 월드컵에서 '꼭짓점 댄스'로 열풍을 일으킨 연예인은?,싸이,김수로,윤도현,2,2,◇시사/상식◇,,,,,,,
다음 중 연예인 가족으로 틀리게 짝지어진 것은?,엄앵란&엄정화,배성우&배성재,션&정혜영,1,3,◇시사/상식◇,,,,,,,
다음 중 나이가 다른 연예인은?,박명수,강호동,김용만,3,4,◇시사/상식◇,,,,,,,
국내 최초로 TV에서 방송된 일일 연속극은?,전원일기,눈이 나리는데,결혼행진곡,2,5,◇시사/상식◇,,,,,,,
단오는 여자는 창포물로 머리를 감고 남자는 '이것'을 하는 명절이다. 이것은?,말싸움,윷놀이,씨름,3,3,◇시사/상식◇,,,,,,,
스포츠는 흔히 '( )'로 불린다. 빈칸에 알맞은 말은?,각본 없는 드라마,짜고 치는 고스톱,안 봐도 비디오,1,2,◇시사/상식◇,,,,,,,
달리기 경기에서 '페이스 메이커'는 어떤 사람일까?,팀의 최고 에이스,선두를 이끄는 사람,출발이 가장 빠른 사람,2,3,◇시사/상식◇,,,,,,,
말이나 행동을 일부러 분명하게 하지 않는 모양을 나타내는 말로 틀린 것은?,어물쩍,어물쩡,우물쩍,2,3,◇시사/상식◇,,,,,,,
"""떠나요~둘이서~모든 것 훌훌 버리고""의 노래 제목은?",제주도 푸른 밤,여수 밤바다,신혼여행,1,3,◇시사/상식◇,,,,,,,
충남 보령에서는 <OO 축제>가 유명하다. OO에 들어갈 말은?,녹차,빙어,머드,3,2,◇시사/상식◇,,,,,,,
다음 중 경기도 화성시에 있는 지명은?,안녕동,인사동,예의리,1,4,◇시사/상식◇,,,,,,,
1인당 지역 총소득이 가장 높은 곳은?,서울특별시,울산광역시,부산광역시,2,4,◇시사/상식◇,,,,,,,
우리나라의 가장 많은 성씨는 '김'씨! 그렇다면 다음 3개 순서는?,이>박>최,이>최>박,박>이>최,1,5,◇시사/상식◇,,,,,,,
다음 중 국내 대학교에 존재하는 학과가 아닌 것은?,얼굴경영학과,감귤포장학과,북한학과,2,4,◇시사/상식◇,,,,,,,
다음 중 혀의 '통각'으로 느낄 수 있는 맛은?,짠맛,감칠맛,매운맛,3,4,◇시사/상식◇,,,,,,,
이란의 수도는?,테헤란,저그,프로토스,1,2,◇시사/상식◇,,,,,,,
"속담 ""시장이 반찬""에서 '시장'과 같은 의미를 갖는 것은?",배고픔,박원순,남대문 시장,1,2,◇시사/상식◇,,,,,,,
"피로회복제의 주성분으로 오징어, 문어에 많이 들어있는 것은?",카페인,타우린,키토산,2,4,◇시사/상식◇,,,,,,,
아프리카 열대우림에 사는 평균 키 150cm의 난쟁이 부족은?,마사이족,피그미족,마오리족,2,5,◇시사/상식◇,,,,,,,
스페인어 '베사메무쵸'의 뜻은?,우리 춤 출까요,꽉 안아줘,뽀뽀 많이 해줘,3,4,◇시사/상식◇,,,,,,,
궁둥이는 어느 부위를 말할까?,볼기의 윗부분,볼기의 중간부분,볼기의 아랫부분,3,4,◇시사/상식◇,,,,,,,
야구에서 투수와 포수를 합쳐 부르는 말은?,배터리,마운드 2인조,충전기,1,2,◇시사/상식◇,,,,,,,
올챙이가 개구리로 성장할 때 가장 먼저 생기는 부위는?,뒷다리,가운데다리,앞다리,1,3,◇시사/상식◇,,,,,,,
사람의 몸에서 물이 차지하는 비율은?,약 50%,약 70%,약 90%,2,3,◇시사/상식◇,,,,,,,
잘 되고 있는 상황을 어그러뜨릴 때 '초를 친다'고 한다. 여기서 초는?,식초,양초,잡초,1,4,◇시사/상식◇,,,,,,,
중국의 멸종위기종으로 '실사판 피카츄'라 불리는 동물의 이름은?,담비,일리 피카,토끼박쥐,2,4,◇시사/상식◇,,,,,,,
노래 <Viva la Vida>로 유명한 영국 록밴드는?,콜드브루,콜드게임,콜드플레이,3,3,◇시사/상식◇,,,,,,,
"축구경기에서 전, 후반 이후 '추가시간'을 뜻하는 말이 아닌것은?", 쿨링 타임,로스 타임,인저리 타임,1,3,◇시사/상식◇,,,,,,,
E-mail 주소를 표기할 때 사용하는 '@'를 부르는 올바른 명칭은?,골뱅이,에이원,앳 마크,3,4,◇시사/상식◇,,,,,,,
에베레스트산에 이어 세계에서 두 번째로 높은 산은?,로체,K2,안나푸르나,2,4,◇시사/상식◇,,,,,,,
다음 중 한 해에 5대 국내 가요 시상식 대상을 모두 석권한 가수/그룹은?,H.O.T,김건모,조성모,2,4,◇시사/상식◇,,,,,,,
"""(  ) 날 불평 불만이냐!?"" 맞춤법이 올바른 표현은?",허구헌,허구한,허구연,2,4,◇시사/상식◇,,,,,,,
대형 우량주를 뜻하는 말로 '예능계의 OOO'으로 잘 쓰이는 말은?,옐로칩,블랙칩,블루칩,3,4,◇시사/상식◇,,,,,,,
다음 중 한국에 있는 지역명이 아닌 것은?,김제동,오취리,대가리,1,4,◇시사/상식◇,,,,,,,
우리나라의 전통 음식이 아닌것은?,삼계탕,마라탕,감자탕,2,4,◇시사/상식◇,,,,,,,
조리 시설을 갖춘 차량으로 이동하며 음식을 판매하는 것은?,오일장,포장마차,푸드트럭,3,3,◇시사/상식◇,,,,,,,
요리-주재료가 맞는 것은?,올챙이국수-올챙이,가자미식해-가자미,고갈비-갈비,2,5,◇시사/상식◇,,,,,,,
우리나라 야구 레전드 투수로 '나고야의 태양'으로 불렸던 선수는?,이종범,선동열,이상훈,2,4,◇시사/상식◇,,,,,,,
운동 후 땀으로 빠져나간 전해질을 보충하기 위해 마시는 것은?,이온음료,소주,양잿물,1,2,◇시사/상식◇,,,,,,,
미술계의 올림픽'으로 불리며 2년마다 개최되는 국제미술전은?,비엔날레,아트 페어,아톨림픽,1,3,◇시사/상식◇,,,,,,,
다음 중 각국의 '사랑해'를 뜻하는 외국어가 잘못 짝지어진 것은?,독일-이히리베디히,네덜란드-익허우반여우,이탈리아-떼기에로,3,3,◇시사/상식◇,,,,,,,
다음 중 '별의 고을'이라 불리는 지역으로 참외가 유명한 곳은?,정선,성주,횡성,2,3,◇시사/상식◇,,,,,,,
다음 중 전라남도 여수시에 있는 해역의 이름으로 옳은 것은?,남자만,여자만,애인만,2,4,◇시사/상식◇,,,,,,,
다음 중 부산에 위치한 <장승 등대>의 별칭이 아닌 것은?,마징가Z 등대,태권Z 등대,메칸더V 등대,3,4,◇시사/상식◇,,,,,,,
군부대가 많은 강원도에 없는 지명은?,대장리,대위리,상사리,1,5,◇시사/상식◇,,,,,,,
보통 열차보다 속도가 빠르고 정차하는 역이 적은 열차는?,완행열차,급행열차,설국열차,2,2,◇시사/상식◇,,,,,,,
한국인 최초로 메이저리그에 진출한 야구선수는?,류현진,추신수,박찬호,3,2,◇시사/상식◇,,,,,,,
한국인 최초로 잉글랜드 프리미어리그에 진출한 축구선수는?,설기현,이영표,박지성,3,2,◇시사/상식◇,,,,,,,
시청률이나 청취율이 가장 높은 방송시간대를 가리키는 말이 아닌 것은?,피크 타임,프라임 타임,해피 아워,3,4,◇시사/상식◇,,,,,,,
"축구에서 흔히 쓰이는 말로, '경기는 해봐야 안다'는 의미와 같은 것은?",공은 차야 제 맛이다,공은 둥글다,공은 잘못이 없다,2,2,◇시사/상식◇,,,,,,,
영화나 드라마에서 유명배우가 깜짝 출연하는 것을 말하는 용어는?,스턴트맨,엑스트라,카메오,3,2,◇시사/상식◇,,,,,,,
힙합에서 사용하는 '스왜그(Swag)'는 누가 만든 말일까?,켄드릭 라마,셰익스피어,도끼,2,3,◇시사/상식◇,,,,,,,
"지하철 운행 지연으로 지각할 시 회사, 학교 등에 제출할 수 있는 서류는?",간편지연증명서,가족관계증명서,학연지연증명서,1,2,◇시사/상식◇,,,,,,,
복싱에서 기권을 할 때 던지는 것은?,화염병,수건,주사위,2,1,◇시사/상식◇,,,,,,,
"공기 중에 가장 많은 기체로, 과자를 포장할 때 사용하는 것은?",산소,이산화탄소,질소,3,2,◇시사/상식◇,,,,,,,
한국교육과정평가원에서 주관하는 '수능 모의고사'가 열리지 않는 달은?,6월,9월,11월,3,3,◇시사/상식◇,,,,,,,
경기 중 공의 순간 속도가 가장 빠른 스포츠는?,배드민턴,탁구,테니스,1,4,◇시사/상식◇,,,,,,,
새가 비행기에 부딪히거나 엔진 속에 빨려들어가 사고를 일으키는 현상은?,앵그리 버드,얼리 버드,버드 스트라이크,3,4,◇시사/상식◇,,,,,,,
한국과 호주의 허리케인이 회전하는 방향은?,같다,다르다,매번 바뀐다,2,3,◇시사/상식◇,,,,,,,
다음 중 2월 29일 있었던 해는?,2010년,2016년,2018년,2,3,◇시사/상식◇,,,,,,,
형제의 자녀를 일컫는 호칭'조카'의 원래 뜻은?,발 아래,어린 아이,작은 신발,1,4,◇시사/상식◇,,,,,,,
나라를 위해 목숨을 바친 열사를 일컫는 말로 흔히 쓰이지 않는 것은?,순국선열,호국영령,태극전사,3,3,◇시사/상식◇,,,,,,,
42.195km를 달리는 장거리 도로 경주의 올바른 명칭은?,마라도,마실,마라톤,3,2,◇시사/상식◇,,,,,,,
감량했던 체중이 원래의 체중 이상으로 돌아가는 현상은?,작심삼일,컴백,요요,3,2,◇시사/상식◇,,,,,,,
다음 중 무산소 운동이 아닌 것은?,헥헥 '단거리 달리기',물개 빙의 '수영',으라차차 '역도',2,3,◇시사/상식◇,,,,,,,
자축인묘진사오미신유술해! 12지신에 속하지 않는 동물은?,소,쥐,섭,3,2,◇시사/상식◇,,,,,,,
바지 지퍼가 열렸을 때 '( ) 이/가 열렸다'고 한다. 빈칸에 알맞은 말은?,뚜껑,남대문,열매,2,1,◇시사/상식◇,,,,,,,
미국의 이웃국가 캐나다의 별명으로 알맞은 것은?,천조국,감귤국,단풍국,3,2,◇시사/상식◇,,,,,,,
2002년 한일월드컵 당시 우리나라 카드섹션 문구로 올바른 것은?,꿈은 이루어★진다,꿈은★이루어진다,꿈★은 이루어진다,3,5,◇시사/상식◇,,,,,,,
윷놀이에서 '도가 나오면 한 ( )을 간다.' 빈칸에 알맞은 윷놀이 용어는?,발,칸,땅,1,4,◇시사/상식◇,,,,,,,
에스키모인들이 사는 얼음집의 명칭으로 올바른 것은?,아이스 하우스,이글루,이글아이,2,2,◇시사/상식◇,,,,,,,
"스위스, 프랑스, 오스트리아에 걸쳐 있는 산맥은?",로키 산맥,알프스 산맥,스칸디나비아 산맥,2,3,◇시사/상식◇,,,,,,,
현재 미국의 땅이 된 알래스카는 원래 어느나라의 영토였을까?,캐나다,러시아,스웨덴,2,3,◇시사/상식◇,,,,,,,
인구가 가장 많은 대륙은 '아시아'이다. 그렇다면 그 다음으로 많은 대륙은?,유럽,남아메리카,아프리카,3,4,◇시사/상식◇,,,,,,,
다음 중 면적이 가장 작은 나라는?,바티칸 시국,모나코,리히텐슈타인,1,3,◇시사/상식◇,,,,,,,
고전 소설 <심청전>에서 심청이 아버지의 본명은?,심봉사,심학규,심형탁,2,4,◇시사/상식◇,,,,,,,
현재 올림픽 메달인 '금메달'의 성분은?,도금,순은,순금,1,4,◇시사/상식◇,,,,,,,
야구에서 홈플레이트는 오각형이다. 그렇다면 2루 베이스는?,정삼각형,정사각형,정오각형,2,5,◇시사/상식◇,,,,,,,
애니메이션 <라이온 킹>의 명대사 '하쿠나마타타'는 무슨 뜻일까?,용기를 가져,잘될 거야,할 수 있어,2,4,◇시사/상식◇,,,,,,,
야구 경기 도중 양 팀 선수들이 단체로 싸움에 등참하는 행동의 용어는?,벤치클리어링,더그아웃,그라운드 파이트,1,3,◇시사/상식◇,,,,,,,
방탄소년단은 한국 최초로 '빌보드 200 OO차트' 1위에 올랐다! OO은?,싱글,앨범,그룹,2,3,◇시사/상식◇,,,,,,,
"영국 출신으로 'Let it be', 'Yesterday' 등 무수한 명곡을 남긴 그룹은?",비틀즈,새콤달콤,마이쮸,1,1,◇시사/상식◇,,,,,,,
베트남의 수도는?,호치민,다낭,하노이,3,2,◇시사/상식◇,,,,,,,
"우리나라 최초로 ""빌보드 핫 100"" 차트에 진입한 가수는?",싸이,원더걸스,방탄소년단,2,4,◇시사/상식◇,,,,,,,
미국 '알래스카'의 지명은 인디언 말에서 유래가 되었다. 무슨 뜻일까?,거대한 땅,얼음의 땅,초원의 땅,1,4,◇시사/상식◇,,,,,,,
바다의 왕자 장보고가 설치한 '청해진'은 지금은 어느 지역일까?,진도,통영,완도,3,4,◇시사/상식◇,,,,,,,
영화에서 엔딩 크레딧 전후에 짧게 추가된 장면을 뜻하는 말은?,쿠키영상,도넛영상,초코영상,1,2,◇시사/상식◇,,,,,,,
다음 중 영화 제작사 <마블>의 영화가 아닌 것은?,블랙 펜서,다크나이트 라이즈,닥터 스트레인지,2,2,◇시사/상식◇,,,,,,,
원숭이 엉덩이는 빨개~빨가면 사과! 사과는 맛있어! 맛있으면 OOO! 알맞은 가사는?,살 안 쪄,바나나,0 칼로리,2,1,◇시사/상식◇,,,,,,,
하늘에서 떨어지는 얼음덩어리를 부르는 말은?,엇박,수박,우박,3,1,◇시사/상식◇,,,,,,,
다음 중 각국의 통화가치가 적정 수준인지 살펴보는데 활용되는 햄버거는?,빅맥,싸이버거,와퍼,1,2,◇시사/상식◇,,,,,,,
" '가위눌림'과 같은 말로, 뇌는 깨어 있지만 몸은 자고 있는 상태는?",몽유병,자각몽,수면마비,3,3,◇시사/상식◇,,,,,,,
다음 중 우리나라 항공사가 아닌 것은?,이스타항공,티웨이항공,에어아시아,3,3,◇시사/상식◇,,,,,,,
일반적으로 처음 만난 사람에게 자신의 신상을 알리기 위해 건네는 것은?,손수건,명함,가족관계증명서,2,1,◇시사/상식◇,,,,,,,
비행기 탑승 시 허용되는 행동이 아닌것은?,기내 흡연,기내 수면,기내 방귀,1,1,◇시사/상식◇,,,,,,,
 '아무 근거 없이 널리 퍼진 소문'을 뜻하는 말이 아닌 것은?,헛소문,뜬소문,연개소문,3,1,◇시사/상식◇,,,,,,,
 '틀에 박힌 방식과 일정으로 신선함을 잃는 것'을 뜻하는 말은?,매너리즘,다다이즘,귀차니즘,1,3,◇시사/상식◇,,,,,,,
신발이나 의류에 많이 쓰이는 '벨크로'의 다른 이름은?,뽁뽁이,돌돌이,찍찍이,3,3,◇시사/상식◇,,,,,,,
 '버그'라는 말은 컴퓨터의 회로에 끼어있던 이것 때문에 생겼다 무엇일까?,바퀴벌레,나방,벌,2,5,◇시사/상식◇,,,,,,,
시금치를 먹으면 강해지는 뽀빠이! 여자친구의 이름은?,올리브 오일,올리브 올슨,올리브 바셋,1,4,◇시사/상식◇,,,,,,,
사회자를 뜻하는 MC에서 'M'이 뜻하는 것은?,Microphone,Making,Master,3,4,◇시사/상식◇,,,,,,,
다음 중 아이돌 그룹 멤버의 수가 잘못 짝지어진 것은?,여자친구-6명,방탄소년단-7명,아이콘-8명,3,4,◇시사/상식◇,,,,,,,
"우리나라 연예인 이름으로, 설립된 중국의 학교 명칭으로 올바른 것은?",이영애 초등학교,추자연 중학교,안재욱 고등학교,1,4,◇시사/상식◇,,,,,,,
다음 중 솜사탕의 재료는?,솜,설탕,실,2,2,◇시사/상식◇,,,,,,,
지나치게 잠을 많이자고 낮에도 심하게 졸림을 느끼는 증상은?,게으름뱅이,지방간,과면증,3,2,◇시사/상식◇,,,,,,,
남극에는 세종과학기지! 북극의 국내 최초 과학기지는?,다산과학기지,도산과학기지,태극과학기지,1,5,◇시사/상식◇,,,,,,,
 '너무 웃어서 얼굴이 OOO' 빈칸에 들어갈 알맞은 말은?,당긴다,땅긴다,땡긴다,2,5,◇시사/상식◇,,,,,,,
대한민국 월드컵 역대 최고 순위는?,4위,8위,16위,1,3,◇시사/상식◇,,,,,,,
제면기를 쓰지 않고 손으로 두드려 만든 면을 [ ]면이라고 한다.,수타,치명타,강타,1,2,◇시사/상식◇,,,,,,,
히말라야 14좌에 해당되는 것은?,노스페이스,K2,코오롱,2,2,◇시사/상식◇,,,,,,,
오늘 도쿄마츠리에서 준비한 육회 16개중 9개 빼고 다 팔았다. 남은 육회는 몇 개일까?,7개,8개,9개,3,3,◇시사/상식◇,,,,,,,
빌게이츠가 다시 대학으로 돌아갈 수 있다면 선택하겠다고 말한 세 가지 전공이 아닌 것은?,에너지,인공지능,한국무용,3,1,◇시사/상식◇,,,,,,,
다음 중 관찰 예능 프로그램이 아닌 것은?,PD수첩,나 혼자 산다,하트시그널,1,3,◇시사/상식◇,,,,,,,
